################################################################## 
# Generated by FullSWOF_2D version 1.07.01, 2016-06-01
################################################################## 
# time	Vol_of_tot	Vol_inf_tot	Vol_rain_tot	Vol_bound_tot
24.2372	  2.64172	        0	        0	 -2.62349
24.2441	  2.64172	        0	        0	 -2.62349
24.2511	  2.64172	        0	        0	 -2.62349
24.2581	  2.64172	        0	        0	 -2.62349
24.265	  2.64172	        0	        0	 -2.62349
24.272	  2.64172	        0	        0	 -2.62349
24.2789	  2.64172	        0	        0	 -2.62349
24.2859	  2.64172	        0	        0	 -2.62349
24.2929	  2.64172	        0	        0	 -2.62349
24.2998	  2.64172	        0	        0	 -2.62349
24.3068	  2.64172	        0	        0	 -2.62349
24.3137	  2.64172	        0	        0	 -2.62349
24.3207	  2.64172	        0	        0	 -2.62349
24.3277	  2.64172	        0	        0	 -2.62349
24.3346	  2.64172	        0	        0	 -2.62349
24.3416	  2.64172	        0	        0	 -2.62349
24.3485	  2.64172	        0	        0	 -2.62349
24.3555	  2.64172	        0	        0	 -2.62349
24.3625	  2.64172	        0	        0	 -2.62349
24.3694	  2.64172	        0	        0	 -2.62349
24.3764	  2.64172	        0	        0	 -2.62349
24.3833	  2.64172	        0	        0	 -2.62349
24.3903	  2.64172	        0	        0	 -2.62349
24.3973	  2.64172	        0	        0	 -2.62349
24.4042	  2.64172	        0	        0	 -2.62349
24.4112	  2.64172	        0	        0	 -2.62349
24.4182	  2.64172	        0	        0	 -2.62349
24.4251	  2.64172	        0	        0	 -2.62349
24.4321	  2.64172	        0	        0	 -2.62349
24.439	  2.64172	        0	        0	 -2.62349
24.446	  2.64172	        0	        0	 -2.62349
24.453	  2.64172	        0	        0	 -2.62349
24.4599	  2.64172	        0	        0	 -2.62349
24.4669	  2.64172	        0	        0	 -2.62349
24.4738	  2.64172	        0	        0	 -2.62349
24.4808	  2.64172	        0	        0	 -2.62349
24.4878	  2.64173	        0	        0	 -2.62349
24.4947	  2.64173	        0	        0	 -2.62349
24.5017	  2.64173	        0	        0	 -2.62349
24.5086	  2.64173	        0	        0	 -2.62349
24.5156	  2.64173	        0	        0	 -2.62349
24.5226	  2.64173	        0	        0	 -2.62349
24.5295	  2.64173	        0	        0	 -2.62349
24.5365	  2.64173	        0	        0	 -2.62349
24.5434	  2.64173	        0	        0	 -2.62349
24.5504	  2.64173	        0	        0	 -2.62349
24.5574	  2.64173	        0	        0	 -2.62349
24.5643	  2.64173	        0	        0	 -2.62349
24.5713	  2.64173	        0	        0	 -2.62349
24.5782	  2.64173	        0	        0	 -2.62349
24.5852	  2.64173	        0	        0	 -2.62349
24.5922	  2.64173	        0	        0	 -2.62349
24.5991	  2.64173	        0	        0	 -2.62349
24.6061	  2.64173	        0	        0	 -2.62349
24.6131	  2.64173	        0	        0	 -2.62349
24.62	  2.64173	        0	        0	 -2.62349
24.627	  2.64173	        0	        0	 -2.62349
24.6339	  2.64173	        0	        0	 -2.62349
24.6409	  2.64173	        0	        0	 -2.62349
24.6479	  2.64173	        0	        0	 -2.62349
24.6548	  2.64173	        0	        0	 -2.62349
24.6618	  2.64173	        0	        0	 -2.62349
24.6687	  2.64173	        0	        0	 -2.62349
24.6757	  2.64173	        0	        0	 -2.62349
24.6827	  2.64173	        0	        0	 -2.62349
24.6896	  2.64173	        0	        0	 -2.62349
24.6966	  2.64173	        0	        0	 -2.62349
24.7035	  2.64173	        0	        0	 -2.62349
24.7105	  2.64173	        0	        0	 -2.62349
24.7175	  2.64173	        0	        0	 -2.62349
24.7244	  2.64173	        0	        0	 -2.62349
24.7314	  2.64173	        0	        0	 -2.62349
24.7383	  2.64173	        0	        0	 -2.62349
24.7453	  2.64173	        0	        0	 -2.62349
24.7523	  2.64173	        0	        0	 -2.62349
24.7592	  2.64173	        0	        0	 -2.62349
24.7662	  2.64173	        0	        0	 -2.62349
24.7731	  2.64173	        0	        0	 -2.62349
24.7801	  2.64173	        0	        0	 -2.62349
