################################################################## 
# Generated by FullSWOF_2D version 1.07.01, 2016-06-01
################################################################## 
# Final Time
#(i-0.5)*dx	(j-0.5)*dy	h[i][j]	u[i][j]	v[i][j]	h[i][j]+z[i][j]	z[i][j]	velocity_norm[i][j]	Fr[i][j] (Froude)	qx[i][j]	qy[i][j]	q[i][j]
#
0.0381	   4.1529	0.0149386	  3.76181	0.000370978	  10.0067	  9.99177	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961
0.0381	   4.2291	0.0149386	  3.76181	0.000370978	  10.0066	  9.99162	  3.76181	  9.82669	0.00428214	4.22292e-07	0.0561961

0.1143	   0.0381	0.0158234	  3.54726	0.00032171	  10.0143	  9.99848	  3.54726	  9.00345	0.00427708	3.87899e-07	0.0561296
0.1143	   0.1143	0.0158389	  3.54742	0.000688119	  10.0142	  9.99832	  3.54742	  8.99944	0.00428147	8.30508e-07	0.0561873
0.1143	   0.1905	 0.015841	  3.54744	0.000738087	   10.014	  9.99817	  3.54744	  8.99889	0.00428206	8.90935e-07	 0.056195
0.1143	   0.2667	0.0158413	  3.54744	0.000744235	  10.0139	  9.99802	  3.54744	  8.99882	0.00428213	8.98371e-07	 0.056196
0.1143	   0.3429	0.0158413	  3.54744	0.000744949	  10.0137	  9.99787	  3.54744	  8.99881	0.00428214	8.99234e-07	0.0561961
0.1143	   0.4191	0.0158413	  3.54744	0.000745029	  10.0136	  9.99771	  3.54744	  8.99881	0.00428214	8.99331e-07	0.0561961
0.1143	   0.4953	0.0158413	  3.54744	0.000745038	  10.0134	  9.99756	  3.54744	  8.99881	0.00428214	8.99341e-07	0.0561961
0.1143	   0.5715	0.0158413	  3.54744	0.000745039	  10.0133	  9.99741	  3.54744	  8.99881	0.00428214	8.99342e-07	0.0561961
0.1143	   0.6477	0.0158413	  3.54744	0.000745039	  10.0131	  9.99726	  3.54744	  8.99881	0.00428214	8.99342e-07	0.0561961
0.1143	   0.7239	0.0158413	  3.54744	0.000745039	  10.0129	   9.9971	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   0.8001	0.0158413	  3.54744	0.000745039	  10.0128	  9.99695	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   0.8763	0.0158413	  3.54744	0.000745039	  10.0126	   9.9968	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   0.9525	0.0158413	  3.54744	0.000745039	  10.0125	  9.99665	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   1.0287	0.0158413	  3.54744	0.000745039	  10.0123	  9.99649	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   1.1049	0.0158413	  3.54744	0.000745039	  10.0122	  9.99634	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   1.1811	0.0158413	  3.54744	0.000745039	   10.012	  9.99619	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   1.2573	0.0158413	  3.54744	0.000745039	  10.0119	  9.99604	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   1.3335	0.0158413	  3.54744	0.000745039	  10.0117	  9.99589	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   1.4097	0.0158413	  3.54744	0.000745039	  10.0116	  9.99573	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   1.4859	0.0158413	  3.54744	0.000745039	  10.0114	  9.99558	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   1.5621	0.0158413	  3.54744	0.000745039	  10.0113	  9.99543	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   1.6383	0.0158413	  3.54744	0.000745039	  10.0111	  9.99528	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   1.7145	0.0158413	  3.54744	0.000745039	   10.011	  9.99512	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   1.7907	0.0158413	  3.54744	0.000745039	  10.0108	  9.99497	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   1.8669	0.0158413	  3.54744	0.000745039	  10.0107	  9.99482	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   1.9431	0.0158413	  3.54744	0.000745039	  10.0105	  9.99467	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   2.0193	0.0158413	  3.54744	0.000745039	  10.0104	  9.99451	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   2.0955	0.0158413	  3.54744	0.000745039	  10.0102	  9.99436	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   2.1717	0.0158413	  3.54744	0.000745039	  10.0101	  9.99421	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   2.2479	0.0158413	  3.54744	0.000745039	  10.0099	  9.99406	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   2.3241	0.0158413	  3.54744	0.000745039	  10.0097	   9.9939	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   2.4003	0.0158413	  3.54744	0.000745039	  10.0096	  9.99375	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   2.4765	0.0158413	  3.54744	0.000745039	  10.0094	   9.9936	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   2.5527	0.0158413	  3.54744	0.000745039	  10.0093	  9.99345	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   2.6289	0.0158413	  3.54744	0.000745039	  10.0091	  9.99329	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   2.7051	0.0158413	  3.54744	0.000745039	   10.009	  9.99314	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   2.7813	0.0158413	  3.54744	0.000745039	  10.0088	  9.99299	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   2.8575	0.0158413	  3.54744	0.000745039	  10.0087	  9.99284	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   2.9337	0.0158413	  3.54744	0.000745039	  10.0085	  9.99268	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   3.0099	0.0158413	  3.54744	0.000745039	  10.0084	  9.99253	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   3.0861	0.0158413	  3.54744	0.000745039	  10.0082	  9.99238	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   3.1623	0.0158413	  3.54744	0.000745039	  10.0081	  9.99223	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   3.2385	0.0158413	  3.54744	0.000745039	  10.0079	  9.99208	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   3.3147	0.0158413	  3.54744	0.000745039	  10.0078	  9.99192	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   3.3909	0.0158413	  3.54744	0.000745039	  10.0076	  9.99177	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   3.4671	0.0158413	  3.54744	0.000745039	  10.0075	  9.99162	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   3.5433	0.0158413	  3.54744	0.000745039	  10.0073	  9.99147	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   3.6195	0.0158413	  3.54744	0.000745039	  10.0072	  9.99131	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   3.6957	0.0158413	  3.54744	0.000745039	   10.007	  9.99116	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   3.7719	0.0158413	  3.54744	0.000745039	  10.0068	  9.99101	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   3.8481	0.0158413	  3.54744	0.000745039	  10.0067	  9.99086	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   3.9243	0.0158413	  3.54744	0.000745039	  10.0065	   9.9907	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   4.0005	0.0158413	  3.54744	0.000745039	  10.0064	  9.99055	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   4.0767	0.0158413	  3.54744	0.000745039	  10.0062	   9.9904	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   4.1529	0.0158413	  3.54744	0.000745039	  10.0061	  9.99025	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961
0.1143	   4.2291	0.0158413	  3.54744	0.000745039	  10.0059	  9.99009	  3.54744	  8.99881	0.00428214	8.99343e-07	0.0561961

0.1905	   0.0381	0.0167009	  3.35859	0.000459549	  10.0137	  9.99695	  3.35859	  8.29761	0.00427417	5.84826e-07	0.0560914
0.1905	   0.1143	0.0167247	  3.35897	0.00100583	  10.0135	   9.9968	  3.35897	  8.29264	0.00428076	1.28185e-06	0.0561779
0.1905	   0.1905	0.0167291	  3.35902	0.00110601	  10.0134	  9.99665	  3.35902	  8.29168	0.00428193	1.4099e-06	0.0561933
0.1905	   0.2667	0.0167298	  3.35903	0.00112182	  10.0132	  9.99649	  3.35903	  8.29152	0.00428211	1.4301e-06	0.0561957
0.1905	   0.3429	0.0167299	  3.35903	0.00112409	  10.0131	  9.99634	  3.35903	   8.2915	0.00428214	1.43301e-06	0.0561961
0.1905	   0.4191	0.0167299	  3.35903	0.0011244	  10.0129	  9.99619	  3.35903	   8.2915	0.00428214	1.4334e-06	0.0561961
0.1905	   0.4953	0.0167299	  3.35903	0.00112444	  10.0128	  9.99604	  3.35903	   8.2915	0.00428214	1.43345e-06	0.0561961
0.1905	   0.5715	0.0167299	  3.35903	0.00112445	  10.0126	  9.99589	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   0.6477	0.0167299	  3.35903	0.00112445	  10.0125	  9.99573	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   0.7239	0.0167299	  3.35903	0.00112445	  10.0123	  9.99558	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   0.8001	0.0167299	  3.35903	0.00112445	  10.0122	  9.99543	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   0.8763	0.0167299	  3.35903	0.00112445	   10.012	  9.99528	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   0.9525	0.0167299	  3.35903	0.00112445	  10.0119	  9.99512	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   1.0287	0.0167299	  3.35903	0.00112445	  10.0117	  9.99497	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   1.1049	0.0167299	  3.35903	0.00112445	  10.0115	  9.99482	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
